gene id,cancer_164,cancer_170,cancer_260,normal_1,normal_2,normal_3
ENSG00000129295.11,4.0,0.0,6.0,93.000024,127.00000999999999,64.99995
ENSG00000129315.13,18.0,10.0,4.0,553.00001,574.99933,473.00086000000005
ENSG00000129317.16,0.0,5.0,9.0,374.32912999999996,222.34898,374.771566
ENSG00000129347.22,145.9999098,43.999980048307904,89.99994303599999,524.95343833147,451.00040010416603,276.00011945
ENSG00000129351.19,369.00009,203.020310374097,153.0000115973,2016.3310096,2028.9977540999998,1228.92102
ENSG00000129353.16,134.9999650924,114.00005,89.00001,3636.02261,4649.0008,2871.00407
ENSG00000129354.13,12.0,7.0,16.999994564,380.00018,116.0,334.00032000000004
ENSG00000129355.7,1.0,14.0,0.0,16.0,17.0,4.0
ENSG00000129422.16,29.0,14.0000076,21.9999953,3161.9975299999996,2385.0006809828938,3068.00136
ENSG00000129437.12,2.00000052,86.93549999999999,3.99999698,4.000003403,84.99995,0.9999997079999999
ENSG00000129450.11,13.0,0.0,2.0,44.728,96.83287237505,27.00002
ENSG00000129451.13,106.99991,410.00008,76.9999,441.19396,501.25910000000005,209.55713999999998
ENSG00000129455.17,34.0,29.934385,5.0,136.99995,383.00002,55.999959000000004
ENSG00000129460.18,10.000000247867,7.0,8.0,324.0107505,366.000483,199.000491
ENSG00000129465.17,1.700569,4.607443999999999,1.0,60.22325,43.131012,25.000032
ENSG00000129467.15,6.640797953367501,13.626863741912,3.002380238888,152.7924926317655,108.48255520000001,12.720410122622
ENSG00000129472.15,0.0,5.0,0.0,294.99962,324.00046,206.9999
ENSG00000129473.12,56.0,30.00004,42.00003,51.4134744431286,38.66474396752,26.71215774083
ENSG00000129474.18,100.0,59.0,155.00003,236.32564,191.9999,157.00009
ENSG00000129480.14,0.0,0.0,0.0,63.93879,59.860290000000006,49.99999
ENSG00000129484.15,0.5,4.0000000336635,15.0000000942737,267.60886,260.871613,229.8998337836
ENSG00000129493.16,23.0,18.0,13.56301,1065.7947000155848,859.559750281358,703.6368500646245
ENSG00000129514.8,6.0,11.0,0.0,1150.9993,26.000010000000003,697.99988
ENSG00000129515.21,3.0,9.0,6.0,1273.12788,1465.9987011807,1073.0011499999998
ENSG00000129518.11,5.0,10.0,6.9999993,499.00082,501.00024,430.99980000000005
ENSG00000129521.16,16.0,2.0,5.0,72.0,80.99994,22.99999
ENSG00000129534.15,10.0,0.0,11.99999335,1028.196568244,861.999501428,875.9993612
ENSG00000129535.14,0.0,0.0,2.0,4.0,3.0,3.5191
ENSG00000129538.15,32.0000148,50.000020500000005,21.999987219999998,1262.0,1793.9993,811.000207
ENSG00000129559.14,4.757475,0.0,2.83849,502.30084,641.50108,379.992319
ENSG00000129562.12,38.0,34.000052389000004,7.9999983839999995,808.03873,699.00014,645.00031
ENSG00000129566.14,131.50008400000002,76.50000999999999,165.55395000000001,795.82693,685.2812,346.69214999999997
ENSG00000129595.14,9.0,0.0,0.0,1452.0894,745.84315,1545.51336
ENSG00000129596.6,9.0,0.0,0.0,45.999990000000004,36.99998,10.0
ENSG00000129625.14,78.999940234993,58.07539,41.0,827.59338,632.28885,584.316709
ENSG00000129636.14,3.000002,20.0,19.0,1624.9818970000001,1336.000480126599,1322.97828
ENSG00000129646.16,15.99998,28.999969999999998,5.0,428.00032,183.0,174.99965999999998
ENSG00000129654.9,0.0,0.0,0.0,2.0,0.0,1.0
ENSG00000129657.17,95.99997001337019,50.99998,53.0000200323164,957.0002,1288.99925,770.96882125962
ENSG00000129667.14,364.0000401376,88.00004,135.99996000000002,161.0959143,185.99967,135.00034730000002
ENSG00000129673.11,19.46721,0.0,0.0,1.0,2.0,0.0
ENSG00000129675.17,5.0,9.0,3.0,1276.9674,3381.9962,798.00061
ENSG00000129680.17,2.0,34.0,14.0,332.15032032,624.5897199999999,260.50112
ENSG00000129682.17,0.0,5.0,1.0,54.324239999999996,110.17957999999999,52.203615179
ENSG00000129691.17,22.000040000000002,34.0,41.99995507569,985.99954701,1174.99931,798.000477
ENSG00000129696.14,11.0,3.0,2.000004,363.3924,372.03400700927,211.87802746
ENSG00000129744.4,0.0,19.0,0.0,1.0,39.487860000000005,2.0
ENSG00000129749.3,1.0,4.0,0.0,12.33005,14.51221,10.0
ENSG00000129757.16,0.0,50.0,3.365197,40.584379999999996,36.00003,13.74961
ENSG00000129810.16,0.0,0.0,0.0,91.29632699999999,41.61841,43.99998
ENSG00000129816.6,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000129824.16,28.0000000130744,32.0,15.35377,6360.22641,7891.281,6248.09
ENSG00000129845.6,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000129862.7,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000129864.7,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000129873.8,0.0,0.356506,0.0,1.25797,0.971148,1.66878
ENSG00000129910.9,18.0,17.0,0.0,5.0000012,270.0000000266139,3.0000001370000002
ENSG00000129911.9,71.00003000000001,47.99998,30.99999,26.00004,29.99995,16.000016000000002
ENSG00000129925.12,169.00016098860002,57.0000000237116,61.99992469023,447.82843,221.0001,315.00002
ENSG00000129932.11,12.0,6.0,8.0,9.0,23.0,8.0000000119514
ENSG00000129933.22,34.999905,25.00000852249,20.00000768626,525.0346999999999,500.5179,397.00033
ENSG00000129946.12,16.99998,9.0,27.00002,57.999956,27.000053,37.0
ENSG00000129951.20,10.0,7.0,3.0,3.0,5.0,2.0
ENSG00000129965.15,0.0,0.0,0.0,0.0,0.0,0.0
ENSG00000129968.18,213.06054607,47.521550520000005,62.8837,341.79668,478.94828,270.99999
ENSG00000129988.7,1.00000029343,0.0,0.0,5.00000205343,3.000000507302,1.000000435932
ENSG00000129990.16,0.0,0.0,13.076590462614,0.0,2.0119450117656,1.0000000359303
ENSG00000129991.15,0.0,2.0,1.0,1.0,22.0,4.0
ENSG00000129993.15,8.999996000000001,40.0,12.0,39.000011,79.00002,14.0
ENSG00000130005.14,3.0,59.000000227133,6.0,207.52852,700.00042,96.00001
ENSG00000130021.16,4.0,7.0,3.0,55.99991,54.99993,44.99999
ENSG00000130023.17,3.0,5.2378979999999995,0.0,253.098101,250.63168100000001,271.433919
ENSG00000130024.16,1.0,23.00002,10.0,1032.74823,814.47213,841.7579100312726
ENSG00000130032.18,5.72596,7.41616,1.60538,57.475862,32.777114,20.259984612649998
ENSG00000130035.10,0.0,0.0,2.0,20.00003,3.0,14.92945
ENSG00000130037.5,0.0,0.0,0.0,12.6289,20.1162,1.0
ENSG00000130038.11,36.0,15.0,40.0,825.89332,154.0000000217625,707.9997
ENSG00000130045.18,0.0,0.0,0.0,1.52395,1.45714,2.4045
ENSG00000130052.14,53.999990440000005,47.0,15.999980499,82.99995,191.00025,44.0
ENSG00000130054.5,0.0,1.0,6.0,5.0,0.0,6.0
ENSG00000130055.15,8.0,6.0,8.0,62.0,175.0,12.00001
ENSG00000130066.17,129.0,40.000069999999994,63.999990000000004,1830.9954,2211.00259,1646.0000300000002
ENSG00000130119.18,72.0000223,40.0,24.0,713.220854516,767.8413199999999,469.029908
ENSG00000130147.17,107.9999802231596,35.99996321,62.00002481,1070.000156027927,435.0004300240269,946.9998412021355
ENSG00000130150.13,0.0,3.0,8.000002,243.00027,330.00039,247.08996
ENSG00000130158.14,404.000280100413,285.99979405299996,259.00013,806.425062,741.9998300000001,319.00016
ENSG00000130159.16,63.000067428899996,13.00001,13.000003,462.5959940000001,540.12621765449,318.04899
ENSG00000130164.17,282.99940000000004,144.99976,203.99973849413,2217.80601,1265.429960388188,2705.09453
ENSG00000130165.12,50.676689999999994,32.21413,44.272255,159.99149,151.99998,87.00004
ENSG00000130167.14,0.0,0.0,1.0,0.0,0.0,0.0
ENSG00000130173.14,7.0,2.0,1.0,2.0,2.000005,0.0
ENSG00000130175.11,757.001187196058,360.99981660597,475.99998999999997,6869.944597930011,6460.99481754913,4803.045240035417
ENSG00000130176.9,17.0,1.0,4.0,40.999996,48.0,12.000039999999998
ENSG00000130177.17,2.0,4.99999236932,4.0,1006.95496,980.99955,719.9998756
ENSG00000130182.8,0.0,0.0,0.0,1.0,1.0,0.0
ENSG00000130193.9,6.0,2.0,2.0,16.28003,13.647960000000001,8.0
ENSG00000130202.11,175.00050000000002,112.000068,73.999960794779,476.00046,427.99980000000005,335.93362
ENSG00000130203.11,521.99990414678,171.999942103142,211.0000307909345,695.41591,821.00027,166.00023999999996
ENSG00000130204.14,84.83158214699999,45.9999394038,32.463526272500005,154.23052,152.5188,100.87254
ENSG00000130208.11,41.000071758999994,14.0,13.999995589000001,28.0000419,149.99542,11.999986
ENSG00000130222.12,0.0,6.0,2.0,36.00004,88.00005,23.00004
ENSG00000130224.16,9.0,0.0,10.0,63.0,116.00049999999999,35.999970000000005
