"ENTREZID","log2FC"
"400238",5.32030443004372
"2968",5.31361868604323
"645296",5.31263039528605
"51399",5.31162312253686
"57798",5.3104251754474
"2993",5.31042485863947
"254956",5.30897687170927
"388649",5.30748115584016
"11337",5.30567245012783
"728430",5.30567242330823
"26287",5.30532889912474
"84334",5.30251482236036
"389941",5.30099254446928
"285643",5.29569458382264
"2011",5.29504318381559
"7850",5.29004330755366
"2314",5.28955058278107
"392390",5.28788875618588
"84070",5.28781810605043
"142680",5.28486737995745
"164714",5.28434630090749
"338",5.28158659591395
"1632",5.27937949204239
"56957",5.27788729550953
"10395",5.27788513686473
"124906280",5.27035021670307
"148823",5.26863005098199
"54749",5.26763220505711
"79625",5.26695229970368
"101928795",5.26689526724193
"128414",5.26609320544044
"54620",5.26560819264922
"374987",5.26488613496072
"727936",5.26415773555595
"90624",5.25917117856495
"400359",5.252932665933
"100270943",5.25094705364187
"145814",5.24981713899525
"55339",5.2408876666237
"29035",5.23583498171398
"105372779",5.22508748537573
"5164",5.22313364834203
"90193",5.22203642555378
"10919",5.21889423650528
"5831",5.21746506362255
"10367",5.2137085801809
"84243",5.20896358715232
"102724329",5.2072251086042
"324",5.20401010175599
"26147",5.20400651183976
"51257",5.19870578727611
"9389",5.19751686800784
"4854",5.19260222082119
"4710",5.18918107789223
"28733",5.18250277678877
"100271181",5.18090512087208
"641614",5.18090411083488
"758",5.18090404040321
"11074",5.18090403789342
"26035",5.18090394219329
"26127",5.18090370392241
"130814",5.18090368721806
"54658",5.18090322424974
"151531",5.1809031870423
"3608",5.18090300986686
"654816",5.18090289477632
"84142",5.18090275913879
"102465473",5.18090275767801
"729332",5.18090275273729
"6271",5.1809027169781
"285590",5.18090270859766
"79258",5.18090262008045
"51314",5.18090258877762
"11039",5.18090257423564
"56950",5.18090255556431
"2013",5.18090251720303
"106865373",5.18090251618878
"105369759",5.1809024756972
"79165",5.18090234441083
"6349",5.18090234355803
"65990",5.18090219971549
"125177376",5.18090212571935
"112577518",5.18090212455605
"83932",5.18090209879942
"10282",5.18090207739914
"728339",5.18090202781381
"51649",5.18090183062799
"729978",5.18090179416518
"862",5.18090133696651
"51371",5.18090133419712
"729467",5.18090126824547
"6541",5.18090126629873
"55969",5.18090115175294
"402152",5.18090109171084
"100996570",5.18090106993424
"10950",5.18090102674559
"729852",5.18090097519514
"152098",5.18090064015124
"10116",5.18073692815175
"2063",5.17899919054223
"8552",5.17630303143707
"646745",5.1758034474434
"105369154",5.17524285571799
"401992",5.17441288981645
"7955",5.17438028557693
"154442",5.17288880056593
"107986001",5.17288436678547
"115004",5.17169106944681
"391356",5.16742887395026
"3074",5.16737929091534
"1508",5.16723334719492
"399671",5.16461965735702
"51014",5.16461841339231
"102723654",5.16461833604131
"2694",5.16461780712762
"6477",5.16461750630948
"908",5.16461729585268
"79961",5.1646168527121
"387700",5.16443323411891
"693178",5.16129950424739
